,company_x,company_y;
0,Saxion University of Applied Sciences,Gopublic BV;
1,Koninklijke Grolsch,Jonge Democraten Overijssel;
2,Little Rocket,DXC Technology;
"3,Koninklijke Grolsch,""Sprout Social, Inc.""";
4,Koninklijke Grolsch,ABN AMRO Bank N.V.;
5,Lions Clubs International,GoFastForward;
6,Lions Clubs International,Aqua free Group;
7,Koninklijke Grolsch,OK.app;
8,Saxion University of Applied Sciences,Synnovem;
9,Koninklijke Grolsch,SPRINT - Insights;
10,Little Rocket,Publicis Groupe;
11,Little Rocket,Loopfietsen.nl / Loopauto.nl / TrampolineXL.nl / Skelters.nl;
12,Saxion University of Applied Sciences,NP;
13,Little Rocket,Itzos;
14,Little Rocket,Conrad Electronic Group;
15,Lions Clubs International,Ready for take-off;
16,Saxion University of Applied Sciences,Protestantse gemeente Vries;
17,Lions Clubs International,Hanzehogeschool Groningen / Hanze University of Applied Sciences Groningen;
18,Little Rocket,BNR-Quality;
19,Little Rocket,Baker Tilly Nederland;
20,Little Rocket,Initiative;
21,Saxion University of Applied Sciences,Succesfactor.nu;
22,Little Rocket,A.T. Twintey / Radboudumc;
23,Saxion University of Applied Sciences,Windesheim University of applied sciences;
24,Lions Clubs International,De Arbodienst;
25,Little Rocket,Hemink Groep B.V.;
26,Koninklijke Grolsch,LEQUAL;
27,Koninklijke Grolsch,OK;
28,Koninklijke Grolsch,TGW Holding BV;
29,Little Rocket,RGN brand identity services;
30,Little Rocket,Leqqr;
31,Lions Clubs International,Allied Mineral Products;
32,Little Rocket,Qubiz;
33,Little Rocket | Data + digitale innovatie,Data-First B.V.;
34,Little Rocket,BrainCreators;
35,Little Rocket I Data + digitale innovatie,CTV Armaturen & Penstocks GmbH;
36,Saxion University of Applied Sciences,LVT Group;
37,Saxion University of Applied Sciences,Adviesbureau De Vaart B.V.;
38,Saxion University of Applied Sciences,Retired and enjoying time to pursue personal interests and family;
39,Koninklijke Grolsch,MinDig;
40,Little Rocket I Data + digitale innovatie,Toelevering Online;
41,Saxion University of Applied Sciences,PLD | Universiteit Twente;
42,Little Rocket,Matrix Fitness Benelux;
43,Koninklijke Grolsch,bind;
44,Koninklijke Grolsch,De Monnik Dranken;
45,Lions Clubs International,January;
46,Lions Clubs International,Huuskes b.v.;
47,Koninklijke Grolsch,GE Renewable Energy;
48,Saxion University of Applied Sciences,Seezers;
49,Little Rocket | Data + digitale innovatie,Licentie2GO;
50,Saxion University of Applied Sciences,Gemeente Haaksbergen;
51,Lions Clubs International,Kaboodle;
52,Koninklijke Grolsch,Match en Fit;
53,Saxion University of Applied Sciences,Bisdom Rotterdam;
54,Little Rocket I Data & Digital Innovation,BrandLoyalty;
55,Koninklijke Grolsch,Wannahaves;
56,Saxion University of Applied Sciences,KPN;
57,Little Rocket,Eetcafe ome Hans;
58,Little Rocket,Belco B.V.;
59,Little Rocket,Auto Bruggeman;
60,Little Rocket,Rabobank Groningen Drenthe;
61,Little Rocket,Jeugdzorg Nederland;
62,Koninklijke Grolsch,Roompot;
63,Koninklijke Grolsch,Gemeente Rotterdam;
64,Little Rocket | Data + digitale innovatie,Picnic Technologies;
65,Lions Clubs International,Mijande Wonen;
66,Little Rocket I Data & Digital Innovation,Arie Kwast Fotografie;
67,Little Rocket,ABN AMRO MeesPierson;
68,Koninklijke Grolsch,Dela Uitvaartverzorging N.V.;
69,Lions Clubs International,Home of the Humvee.nl;
"70,Little Rocket,""Stadsbeheer BV, Software voor VTH-processen""";
71,Little Rocket,Minddistrict;
72,little rocket,Licentie2GO;
73,Little Rocket | Data + digitale innovatie,Showtime Evenementenbureau;
74,Lions Clubs International,NDS;
75,Little Rocket,University College Student Representatives of the Netherlands;
76,Koninklijke Grolsch,Yunus Groothandel;
77,Saxion University of Applied Sciences,PLURAL Publications GmbH;
78,Lions Clubs International,Appnormal;
"79,Saxion University of Applied Sciences,""Tranzo, het wetenschappelijk centrum voor zorg en welzijn van Tilburg University""";
